------------------------------------------------------------------------------------land dtaset
 Epoch 71/200, Train Loss: 0.2298, Train Dice: 0.8863, Train IoU: 0.8063, Val Loss: 0.1977, Val Dice: 0.7428, Val IoU: 0.6301, 
 Epoch 72/200, Train Loss: 0.2304, Train Dice: 0.8848, Train IoU: 0.8046, Val Loss: 0.1973, Val Dice: 0.7442, Val IoU: 0.6315, 
 Epoch 73/200, Train Loss: 0.2240, Train Dice: 0.8890, Train IoU: 0.8097, Val Loss: 0.2017, Val Dice: 0.7431, Val IoU: 0.6295, 
 Epoch 74/200, Train Loss: 0.2284, Train Dice: 0.8788, Train IoU: 0.7987, Val Loss: 0.2024, Val Dice: 0.7408, Val IoU: 0.6272, 
 Epoch 75/200, Train Loss: 0.2415, Train Dice: 0.8795, Train IoU: 0.7998, Val Loss: 0.2025, Val Dice: 0.7447, Val IoU: 0.6312, 
 Epoch 76/200, Train Loss: 0.2285, Train Dice: 0.8822, Train IoU: 0.8021, Val Loss: 0.2014, Val Dice: 0.7427, Val IoU: 0.6299, 
 Epoch 77/200, Train Loss: 0.2260, Train Dice: 0.8849, Train IoU: 0.8053, Val Loss: 0.1971, Val Dice: 0.7453, Val IoU: 0.6324, 
 Epoch 78/200, Train Loss: 0.2280, Train Dice: 0.8812, Train IoU: 0.8012, Val Loss: 0.2013, Val Dice: 0.7418, Val IoU: 0.6288, 
 Epoch 79/200, Train Loss: 0.2288, Train Dice: 0.8866, Train IoU: 0.8064, Val Loss: 0.1972, Val Dice: 0.7465, Val IoU: 0.6331, 
 Epoch 80/200, Train Loss: 0.2278, Train Dice: 0.8881, Train IoU: 0.8078, Val Loss: 0.1990, Val Dice: 0.7438, Val IoU: 0.6304, 
 Epoch 81/200, Train Loss: 0.2273, Train Dice: 0.8884, Train IoU: 0.8079, Val Loss: 0.1996, Val Dice: 0.7419, Val IoU: 0.6293, 
 Epoch 82/200, Train Loss: 0.2273, Train Dice: 0.8864, Train IoU: 0.8080, Val Loss: 0.1979, Val Dice: 0.7437, Val IoU: 0.6312, 
 Epoch 83/200, Train Loss: 0.2263, Train Dice: 0.8854, Train IoU: 0.8067, Val Loss: 0.2029, Val Dice: 0.7413, Val IoU: 0.6280,
 Epoch 84/200, Train Loss: 0.2234, Train Dice: 0.8877, Train IoU: 0.8088, Val Loss: 0.1975, Val Dice: 0.7456, Val IoU: 0.6330,
 Epoch 85/200, Train Loss: 0.2237, Train Dice: 0.8888, Train IoU: 0.8101, Val Loss: 0.1995, Val Dice: 0.7422, Val IoU: 0.6292,
 Epoch 86/200, Train Loss: 0.2301, Train Dice: 0.8817, Train IoU: 0.8017, Val Loss: 0.1993, Val Dice: 0.7449, Val IoU: 0.6321, 
 Epoch 87/200, Train Loss: 0.2281, Train Dice: 0.8836, Train IoU: 0.8037, Val Loss: 0.1970, Val Dice: 0.7468, Val IoU: 0.6340, 
 Epoch 88/200, Train Loss: 0.2263, Train Dice: 0.8878, Train IoU: 0.8085, Val Loss: 0.1958, Val Dice: 0.7472, Val IoU: 0.6346, 
 Epoch 89/200, Train Loss: 0.2291, Train Dice: 0.8851, Train IoU: 0.8050, Val Loss: 0.2019, Val Dice: 0.7419, Val IoU: 0.6282, 
 Epoch 90/200, Train Loss: 0.2588, Train Dice: 0.8810, Train IoU: 0.8020, Val Loss: 0.2025, Val Dice: 0.7462, Val IoU: 0.6318, 
 Epoch 91/200, Train Loss: 0.2271, Train Dice: 0.8856, Train IoU: 0.8062, Val Loss: 0.1954, Val Dice: 0.7472, Val IoU: 0.6343, 
 Epoch 92/200, Train Loss: 0.2264, Train Dice: 0.8908, Train IoU: 0.8120, Val Loss: 0.1987, Val Dice: 0.7441, Val IoU: 0.6309, 
 Epoch 93/200, Train Loss: 0.2283, Train Dice: 0.8849, Train IoU: 0.8054, Val Loss: 0.2022, Val Dice: 0.7393, Val IoU: 0.6265, 
 Epoch 94/200, Train Loss: 0.2631, Train Dice: 0.8763, Train IoU: 0.7974, Val Loss: 0.2043, Val Dice: 0.7433, Val IoU: 0.6300, 
 Epoch 95/200, Train Loss: 0.2287, Train Dice: 0.8863, Train IoU: 0.8056, Val Loss: 0.1976, Val Dice: 0.7445, Val IoU: 0.6317, 
 Epoch 96/200, Train Loss: 0.2369, Train Dice: 0.8831, Train IoU: 0.8019, Val Loss: 0.1993, Val Dice: 0.7450, Val IoU: 0.6311, 
 Epoch 97/200, Train Loss: 0.2230, Train Dice: 0.8874, Train IoU: 0.8070, Val Loss: 0.1958, Val Dice: 0.7463, Val IoU: 0.6340, 
 Epoch 98/200, Train Loss: 0.2353, Train Dice: 0.8809, Train IoU: 0.8014, Val Loss: 0.1977, Val Dice: 0.7435, Val IoU: 0.6310, 
 Epoch 99/200, Train Loss: 0.2235, Train Dice: 0.8858, Train IoU: 0.8068, Val Loss: 0.1967, Val Dice: 0.7471, Val IoU: 0.6343, 
 Epoch 100/200, Train Loss: 0.2329, Train Dice: 0.8857, Train IoU: 0.8063, Val Loss: 0.2012, Val Dice: 0.7439, Val IoU: 0.6308, 
 Epoch 101/200, Train Loss: 0.2262, Train Dice: 0.8843, Train IoU: 0.8050, Val Loss: 0.2027, Val Dice: 0.7450, Val IoU: 0.6313, 
 Epoch 102/200, Train Loss: 0.2373, Train Dice: 0.8864, Train IoU: 0.8064, Val Loss: 0.1966, Val Dice: 0.7466, Val IoU: 0.6328, 
 Epoch 103/200, Train Loss: 0.2274, Train Dice: 0.8873, Train IoU: 0.8074, Val Loss: 0.2039, Val Dice: 0.7379, Val IoU: 0.6250, 
 Epoch 104/200, Train Loss: 0.2221, Train Dice: 0.8930, Train IoU: 0.8147, Val Loss: 0.1970, Val Dice: 0.7438, Val IoU: 0.6314, 
 Epoch 105/200, Train Loss: 0.2234, Train Dice: 0.8869, Train IoU: 0.8070, Val Loss: 0.1973, Val Dice: 0.7457, Val IoU: 0.6328, 
 Epoch 106/200, Train Loss: 0.2385, Train Dice: 0.8816, Train IoU: 0.8028, Val Loss: 0.2015, Val Dice: 0.7470, Val IoU: 0.6330,
 Epoch 107/200, Train Loss: 0.2279, Train Dice: 0.8830, Train IoU: 0.8028, Val Loss: 0.2016, Val Dice: 0.7443, Val IoU: 0.6308, 
 Epoch 108/200, Train Loss: 0.2268, Train Dice: 0.8886, Train IoU: 0.8088, Val Loss: 0.2009, Val Dice: 0.7428, Val IoU: 0.6297, 
 Epoch 109/200, Train Loss: 0.2247, Train Dice: 0.8874, Train IoU: 0.8086, Val Loss: 0.1972, Val Dice: 0.7455, Val IoU: 0.6327, 
 Epoch 110/200, Train Loss: 0.2240, Train Dice: 0.8896, Train IoU: 0.8113, Val Loss: 0.1972, Val Dice: 0.7423, Val IoU: 0.6300, 
 Epoch 111/200, Train Loss: 0.2252, Train Dice: 0.8842, Train IoU: 0.8053, Val Loss: 0.1961, Val Dice: 0.7446, Val IoU: 0.6317, 
 Epoch 112/200, Train Loss: 0.2249, Train Dice: 0.8907, Train IoU: 0.8117, Val Loss: 0.1989, Val Dice: 0.7414, Val IoU: 0.6285, 
 Epoch 113/200, Train Loss: 0.2437, Train Dice: 0.8840, Train IoU: 0.8039, Val Loss: 0.2018, Val Dice: 0.7403, Val IoU: 0.6264, 
 Epoch 114/200, Train Loss: 0.2219, Train Dice: 0.8884, Train IoU: 0.8101, Val Loss: 0.1997, Val Dice: 0.7425, Val IoU: 0.6293, 
 Epoch 115/200, Train Loss: 0.2234, Train Dice: 0.8893, Train IoU: 0.8105, Val Loss: 0.2040, Val Dice: 0.7430, Val IoU: 0.6294, 
 Epoch 116/200, Train Loss: 0.2278, Train Dice: 0.8893, Train IoU: 0.8102, Val Loss: 0.1984, Val Dice: 0.7423, Val IoU: 0.6302, Epoch 117/200, Train Loss: 0.2273, Train Dice: 0.8883, Train IoU: 0.8093, Val Loss: 0.2002, Val Dice: 0.7430, Val IoU: 0.6303, Epoch 118/200, Train Loss: 0.2279, Train Dice: 0.8858, Train IoU: 0.8050, Val Loss: 0.2004, Val Dice: 0.7413, Val IoU: 0.6286, Epoch 119/200, Train Loss: 0.2257, Train Dice: 0.8878, Train IoU: 0.8086, Val Loss: 0.2014, Val Dice: 0.7435, Val IoU: 0.6297, Epoch 120/200, Train Loss: 0.2312, Train Dice: 0.8814, Train IoU: 0.7998, Val Loss: 0.1999, Val Dice: 0.7441, Val IoU: 0.6314, Epoch 121/200, Train Loss: 0.2226, Train Dice: 0.8888, Train IoU: 0.8096, Val Loss: 0.1966, Val Dice: 0.7435, Val IoU: 0.6310, Epoch 122/200, Train Loss: 0.2464, Train Dice: 0.8854, Train IoU: 0.8057, Val Loss: 0.1976, Val Dice: 0.7413, Val IoU: 0.6288, Epoch 123/200, Train Loss: 0.2255, Train Dice: 0.8871, Train IoU: 0.8074, Val Loss: 0.1996, Val Dice: 0.7420, Val IoU: 0.6293, Epoch 124/200, Train Loss: 0.2282, Train Dice: 0.8869, Train IoU: 0.8075, Val Loss: 0.1964, Val Dice: 0.7425, Val IoU: 0.6300, Epoch 125/200, Train Loss: 0.2280, Train Dice: 0.8874, Train IoU: 0.8076, Val Loss: 0.2054, Val Dice: 0.7369, Val IoU: 0.6242, Epoch 126/200, Train Loss: 0.2253, Train Dice: 0.8899, Train IoU: 0.8101, Val Loss: 0.1969, Val Dice: 0.7474, Val IoU: 0.6345, 
