Epoch 72/100, Train Loss: 0.2574, Train Dice: 0.8508, Train IoU: 0.7556, Val Loss: 0.2461, Val Dice: 0.8397, Val IoU: 0.7423, 
Epoch 73/100, Train Loss: 0.2587, Train Dice: 0.8429, Train IoU: 0.7469, Val Loss: 0.2483, Val Dice: 0.8376, Val IoU: 0.7399, 
Epoch 74/100, Train Loss: 0.2620, Train Dice: 0.8433, Train IoU: 0.7476, Val Loss: 0.2481, Val Dice: 0.8386, Val IoU: 0.7405, 
Epoch 75/100, Train Loss: 0.2585, Train Dice: 0.8476, Train IoU: 0.7513, Val Loss: 0.2477, Val Dice: 0.8391, Val IoU: 0.7414, 
Epoch 76/100, Train Loss: 0.2609, Train Dice: 0.8384, Train IoU: 0.7420, Val Loss: 0.2483, Val Dice: 0.8383, Val IoU: 0.7404, 
Epoch 77/100, Train Loss: 0.2584, Train Dice: 0.8472, Train IoU: 0.7523, Val Loss: 0.2467, Val Dice: 0.8385, Val IoU: 0.7409, 
Epoch 78/100, Train Loss: 0.2576, Train Dice: 0.8488, Train IoU: 0.7533, Val Loss: 0.2466, Val Dice: 0.8395, Val IoU: 0.7419, 
Epoch 79/100, Train Loss: 0.2586, Train Dice: 0.8474, Train IoU: 0.7512, Val Loss: 0.2484, Val Dice: 0.8390, Val IoU: 0.7409, 
Epoch 80/100, Train Loss: 0.2578, Train Dice: 0.8484, Train IoU: 0.7532, Val Loss: 0.2480, Val Dice: 0.8392, Val IoU: 0.7412, 
Epoch 81/100, Train Loss: 0.2621, Train Dice: 0.8436, Train IoU: 0.7468, Val Loss: 0.2488, Val Dice: 0.8379, Val IoU: 0.7398, 
Epoch 82/100, Train Loss: 0.2575, Train Dice: 0.8459, Train IoU: 0.7498, Val Loss: 0.2470, Val Dice: 0.8388, Val IoU: 0.7412, 
Epoch 83/100, Train Loss: 0.2600, Train Dice: 0.8449, Train IoU: 0.7481, Val Loss: 0.2473, Val Dice: 0.8393, Val IoU: 0.7413, 
Epoch 84/100, Train Loss: 0.2620, Train Dice: 0.8401, Train IoU: 0.7447, Val Loss: 0.2476, Val Dice: 0.8379, Val IoU: 0.7401, 
Epoch 85/100, Train Loss: 0.2605, Train Dice: 0.8490, Train IoU: 0.7523, Val Loss: 0.2474, Val Dice: 0.8386, Val IoU: 0.7409, 
